route_id,route_name,km_from,km_to,province,geocode,agency,accidents,dead,injured,severity_score,accidents_per_year,years_observed,rain_share,common_geometry,common_cause
304,สี่แยกกบินทร์บุรี - วังน้ำเขียว,210,211,ปราจีนบุรี,25,กรมทางหลวง,72,29,79,369,14.4,5,0.097,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ส.013,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,2,3,กรุงเทพมหานคร,10,กรมทางหลวงชนบท,105,20,55,255,26.25,4,0.067,ทางตรง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
31,งามวงศ์วาน - ดอนเมือง,28,29,ปทุมธานี,13,กรมทางหลวง,3,23,5,235,1.5,2,0,ทางโค้งปกติ+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
ส.013,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,1,2,สมุทรปราการ,11,กรมทางหลวงชนบท,116,15,64,214,23.2,5,0.121,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,0,1,กรุงเทพมหานคร,10,กรมทางหลวง,144,10,111,211,28.8,5,0.056,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ส.013,ออกจากสะพานภูมิพลที่ 2 ไปถนนวงแหวนอุตสาหกรรม,0,1,สมุทรปราการ,11,กรมทางหลวงชนบท,150,9,98,188,30,5,0.027,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,5,6,ชลบุรี,20,กรมทางหลวง,176,4,140,180,35.2,5,0.068,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
304,สี่แยกกบินทร์บุรี - วังน้ำเขียว,208,209,ปราจีนบุรี,25,กรมทางหลวง,34,11,70,180,6.8,5,0.059,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1256,ปัว - อุทยานแห่งชาติดอยภูคา,8,9,น่าน,55,กรมทางหลวง,21,10,76,176,4.2,5,0,ทางโค้งกว้าง+ที่ลาดชัน,ระบบห้ามล้อขัดข้อง/ระบบเบรกชำรุด
3199,โป่งปัด - ศรีสวัสดิ์,58,59,กาญจนบุรี,71,กรมทางหลวง,10,4,134,174,3.33,3,0,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตราที่กำหนด
7,ทางต่างระดับห้วยใหญ่ - บ้านอำเภอ,6,7,ชลบุรี,20,กรมทางหลวง,192,3,141,171,38.4,5,0.036,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,10,11,กรุงเทพมหานคร,10,กรมทางหลวง,257,1,157,167,51.4,5,0.008,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ทางต่างระดับบางควาย - ทางต่างระดับบางวัว,2,3,ชลบุรี,20,กรมทางหลวง,246,4,125,165,49.2,5,0.077,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
